PKNAME,PEAKID,PKNAME2,PKNAME_COSO,LOCATION,osm.x,osm.y,osm,wiki,s,Lat,Lon
Lachama North,LCHN,NA,,Changla Himal (N of Lachama Chuli on Tibetan border),0,0,0,0,0,,
Lamjung Himal,LAMJ,NA,,Annapurna Himal (SE of Annapurna II),1,0,0,1,2,,
Lampo,LAMP,"Langpo Kangri, Ganesh VI",,Ganesh Himal (N of Ganesh I on Tibetan border),0,0,0,0,0,,
Langchung Khang,LNGK,Langpo Chung,,Jongsang Himal (NW of Langpo on Indian border),1,0,0,0,1,,
Langdak,LDAK,NA,,Rolwaling Himal (N of Raungsiyar and Pimu),0,0,0,0,0,,
Langdung,LDNG,Ripumutse,,Rolwaling Himal (WSW of Ripimo Shar on Tibetan border),1,0,0,0,1,,
Langju,LNJU,Lajo Dada,,Shringi Himal (S of Tobsar),0,0,0,0,0,,
Langmoche Ri,LMOC,NA,,Rolwaling Himal (N of Tesi Laptsa),1,0,0,0,1,,
Langpo,LNPO,Longpo,,Jongsang Himal (SE of Jongsang on Indian border),0,0,0,0,0,,
Langpo South,LNPS,NA,,Jongsang Himal (SE of Langpo on Indian border),1,0,0,0,1,,
Langshisa Ri,LSIS,Langsisa Ri,,Jugal Himal (NW of Dorje Lhakpa),1,0,0,1,2,,
Langtang Lirung,LANG,Langtang,,Langtang Himal,0,0,1,1,2,,
Langtang Ri,LANR,NA,,Langtang Himal (NE of Langtang Lirung on Tibetan border),1,0,0,1,2,,
Langtang Yubra,LANY,Yubra Himal,,Langtang Himal (ENE of Langtang Lirung),0,0,0,0,0,,
Larkya Peak,LARK,"Granite Peak, Naike Peak",,Manaslu Himal (N of Manaslu North),1,0,0,0,1,,
Lasa,LASA,NA,,Byas Risi Himal (NNW of Nampa on Tibetan border),0,0,1,0,1,,
Lashar I,LASH,Loshar I,Lashar I,Janak Himal (NW of Lashar II on Tibetan border),1,0,0,0,1,,
Lashar II,LAS2,Loshar II,,Janak Himal (SW of Ghhanyala Hies on Tibetan border),1,0,0,0,1,,
Leonpo Gang,LEON,"Dorje Pahad, Big White Peak",,Jugal Himal (NNE of Dorje Lhakpa on Tibetan border),0,0,0,0,0,,
Leonpo Gang East,LEOE,Gyalgen Peak,,Jugal Himal (NE of Leonpo Gang on Tibetan border),0,0,0,0,0,,
Lha Shamma,LHAS,"Lhasharma, Pinnacle Peak",,"Kagmara Lekh (S of Kanjiroba, NNW of Kagmara I)",0,0,0,0,0,,
Lhayul Peak,LHAY,NA,,Api Himal (SW of Api Main),0,0,0,0,0,,
Lhonak,LNAK,Rifil Peak,,Janak Himal (WNW of Drohmo),0,0,0,0,0,,
Lhotse,LHOT,NA,,Khumbu Himal,0,0,1,1,2,,
Lhotse Middle,LHOM,Lhotse Intermediate,,Khumbu Himal (E of Lhotse),0,0,0,1,1,,
Lhotse Shar,LSHR,Lhotse II,,Khumbu Himal (ESE of Lhotse and Lhotse Middle),0,0,1,1,2,,
Lingtren,LING,NA,,Khumbu Himal (ENE of Pumori on Tibetan border),0,0,0,1,1,,
Linkhu Chuli Nup,LIK2,"Bigphera-Go Nup, Pigpferago Nup, Linkhu Chuli II",,"Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",0,0,0,0,0,,
Linkhu Chuli Shar,LIK1,"Bigphera-Go Shar, Pigpferago Shar, Linkhu Chuli I",,Rolwaling Himal (S of Parchamo),0,0,0,0,0,,
Lobuche East,LOBE,Lobuje East,,Khumbu Himal (SW of Pumori),1,0,0,1,2,,
Lobuche West,LOBW,Lobuje West,,Khumbu Himal (SW of Pumori),1,0,0,1,2,,
Lugula,LUGU,NA,,Damodar Himal (E of Bhrikuti Sail on Tibetan border),0,0,0,0,0,,
Lunag II,LUN2,NA,,Rolwaling Himal (SW of Nangpa La near Tibetan border),0,0,0,0,0,,
Lunag Ri,LUNR,"Lunag I, Rongshar Ri I, Ondrej Peak",,Rolwaling Himal (SW of Nangpa La on Tibetan border),1,0,0,1,2,,
Lunag West,LUNW,NA,,Rolwaling Himal (W of Lunag I on Tibetan border),0,0,0,0,0,,
Lunchhung Kamo East,LNKE,NA,,Kanti Himal (SE of Danfe Sail on Tibetan border),0,0,0,0,0,,
Lungchhung,LUNG,NA,,Palchung Himal (NE of Kanjiroba on Tibetan border),0,0,0,0,0,,
Lungsampa,LSAM,"Lung Sampa, Lumsumna",,Khumbu Himal (S of Nangpai Gosum II),0,0,0,0,0,,
Luza,LUZA,NA,,Khumbu Himal (SW of Gokyo Lake),0,0,0,0,0,,
Machhapuchhare,MACH,NA,,Annapurna Himal (SE of Annapurna III),0,0,0,0,0,,
Makalu,MAKA,NA,,Makalu Himal,0,0,0,1,1,,
Makalu II,MAK2,Kangchungtse,,Makalu Himal (NNW of Makalu on Tibetan border),0,0,0,0,0,,
Malanphulan,MALA,"Melanphulan, Malangphulang, Hinku Ri",,"Khumbu Himal (S of Ama Dablam, NW of Kangtega)",1,0,0,0,1,,
Manapathi,MANP,NA,,Dhaulagiri Himal (SSW of Dhaulagiri I),1,0,0,0,1,,
Manapathi NE,MPNE,NA,,"Dhaulagiri Himal (SSW of Dhaulagiri I, NE of Manapathi)",0,0,0,0,0,,
Manaslu,MANA,"Kutang I, Peak 30",,Manaslu Himal,0,1,1,1,3,,
Manaslu North,MANN,Manaslu II,,Manaslu Himal (N of Manaslu),1,0,0,0,1,,
Mansail,MNSL,Manshail,,Mustang Himal (NW of Lo Manthang on Tibetan border),0,0,0,0,0,,
Mansail South,MNSS,Manshail South,,Mustang Himal (S of Mansail on Tibetan border),0,0,0,0,0,,
Mardi Himal,MARD,NA,,Annapurna Himal (SW of Machhapuchhare),1,0,0,1,2,,
Mariyang,MARI,NA,,Kanti Himal (SE of Kanti Himal on Tibetan border),0,0,0,0,0,,
Mariyang West,MARW,NA,,Kanti Himal (WSW of Mariyang on Tibetan border),0,0,0,0,0,,
Matathumba,MATA,"Matatumpa, Ghyuthumba East",,Jagdula Lekh (S of Kanjiroba Himal),0,0,0,0,0,,
Mayonthang Kang,MAYT,Mayun Thang Khang,,Kanti Himal (NW of Changdi Himal on Tibetan border),0,0,0,0,0,,
Mera Peak,MERA,"""False"" Mera Peak",,Khumbu Himal (S of Ama Dablam),1,0,0,1,2,,
Mera South,MERS,NA,,Khumbu Himal (SW of Mera),0,0,0,0,0,,
Merra,MERR,NA,,Kangchenjunga Himal (WNW of Anidesh Chuli),1,0,0,0,1,,
Metalung,META,"Kuirhun, Kembalung",,"Khumbu Himal (in Hongku Valley, SE of Chamlang)",0,0,0,0,0,,
Mingbo Ri,MING,NA,,Khumbu Himal (S of Ama Dablam and Mingbo La),0,0,0,0,0,,
Mojca,MOJC,Mojka,,Kangchenjunga Himal (W of Ramtang Chang),0,0,0,0,0,,
Mukut Himal,MUKT,"Mukot Himal, Langru",,"Mukut Himal (N of Sita Chuchura, S of Hongde)",1,0,0,0,1,,
Mustang Himal,MUST,NA,,Mustang Himal (S of Mansail on Tibetan border),0,0,0,0,0,,
Mustang Peak,MUPK,NA,,Mustang Himal (S of Mustang Himal peak on Tibetan border),0,0,0,0,0,,
Myagdi Matha,MYAG,NA,,Dhaulagiri Himal (S of Dhaulagiri IV),0,0,0,0,0,,
Nagoru,NGOR,NA,,Peri Himal (NW of Himlung Himal),0,0,0,0,0,,
Nagoru Far East,NGOF,NA,,Peri Himal (NW of Himlung Himal),0,0,0,0,0,,
Nalakankar North,NALA,NA,,Nalakankar Himal (on W Nepal/Tibetan border),0,0,0,0,0,,
Nalakankar South,NALS,NA,,Nalakankar Himal (on W Nepal/Tibetan border),0,0,0,0,0,,
Nampa,NAMP,Chisel Peak,,Api Himal (E of Api),1,0,0,0,1,,
Nampa,NAMP,Chisel Peak,,Api Himal (E of Api),1,0,0,0,1,,
Nampa II,NAM2,NA,,Api Himal (W of Nampa),0,0,0,0,0,,
Nampa III,NAM3,Nampa Chuli,,Api Himal (SE of Nampa),0,0,0,0,0,,
Nampa South,NAMS,NA,,"Api Himal (S of Nampa, W of Nampa Chuli)",0,0,0,0,0,,
Nangamari I,NANG,NA,,Ohmi Kangri Himal (W of Chaw Peak on Tibetan border),0,0,0,0,0,,
Nangamari II,NAN2,NA,,Ohmi Kangri Himal (S of Nangamari I),0,0,0,0,0,,
Nangpai Gosum I,NAG1,"Nagpai Gosum I, Cho Aui",,Khumbu Himal (WSW of Cho Oyu on Tibetan border),0,0,0,0,0,,
Nangpai Gosum II,NAG2,"Nagpai Gosum II, Chamar",,Khumbu Himal (WSW of Cho Oyu on Tibetan border),0,0,0,1,1,,
Narphu,NPHU,NA,Pisang Peak,"Damodar Himal (WNW of Pisang Peak, E of Chulu East Peak)",0,0,0,0,0,,
Naulekh,NAUL,NA,,Khumbu Himal (S of Mera Peak),1,0,0,1,2,,
Naya Kanga,NAYA,"Kangja Chuli, Ghanja La Chuli",,Jugal Himal (W of Ganchempo by Kangja La),1,0,0,1,2,,
Nemjung,NEMJ,NA,,Peri Himal (S of Himlung Himal and Himjung),0,0,0,1,1,,
Nepal Gap Peak,NGAP,Nepal Gyap Peak,,Kangchenjunga Himal (ENE of Gimmegela on Indian border),0,0,0,0,0,,
Nepal Peak,NEPA,NA,,Jongsang Himal (N of Kangchenjunga on Indian border),0,1,0,1,2,,
Ngojumba Kang I,NGOJ,"Ngozumba Kang, Ngozumba Ri, Tenzing Peak",,Khumbu Himal (NE of Cho Oyu on Tibetan border),0,0,0,0,0,,
Ngojumba Kang II,NGO2,NA,,Khumbu Himal (NE of Cho Oyu on Tibetan border),0,1,0,0,1,,
Ngojumba Kang III,NGO3,Hillary Peak,,Khumbu Himal (NE of Cho Oyu on Tibetan border),0,0,0,0,0,,
Nilgiri Central,NILC,NA,,Annapurna-Nilgiri Himal (NW of Annapurna I),1,0,0,0,1,,
Nilgiri East,NILE,NA,,Annapurna-Nilgiri Himal (NNW of Annapurna I),0,0,0,0,0,,
Nilgiri North,NILN,NA,,Annapurna-Nilgiri Himal (NW of Annapurna I),1,0,0,1,2,,
Nilgiri South,NILS,NA,,Annapurna-Nilgiri Himal (NW of Annapurna I),1,0,0,1,2,,
Nilgiri South,NILS,NA,,Annapurna-Nilgiri Himal (NW of Annapurna I),1,0,0,1,2,,
Nirekha,NREK,NA,,Khumbu Himal (NW of Lobuje Peak),1,0,0,1,2,,
Norbu Kang,NORB,Norbu Khang,,Kanjiroba Himal (SE of Phoksumdo Tal),0,0,0,0,0,,
Numbur,NUMB,NA,,Rolwaling Himal (SW of Namche Bazar),0,0,0,0,0,,
Numri,NUMR,NA,,"Khumbu Himal (S of Cho Polu, N of Baruntse)",0,0,0,0,0,,
Nup La Kang,NUPL,Nupla Khang,,Khumbu Himal (N of Nup La on Tibetan border),0,0,0,0,0,,
Nupche Kang,NUPK,"Friendship Peak, Nupche Himal",,Khumbu Himal (ESE of Nangpa La on Tibetan border),0,0,0,0,0,,
Nuptse,NUPT,NA,,Khumbu Himal (SW of Everest),0,0,0,1,1,,
Nuptse East I,NUPE,NA,,Khumbu Himal (E of Nuptse main summit),0,0,0,0,0,,
Nuptse West II,NUPW,Nuptse Nup II,,Khumbu Himal (NW of Nuptse main summit),0,0,0,0,0,,
Ohmi Kangri,OHMI,NA,,Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border),0,0,0,0,0,,
Ombak Himal,OMBK,NA,,Ohmi Kangri Himal (NE of Ombak La in Tibet),0,0,0,0,0,,
Ombigaichen,OMBG,Puma Dablam,,Khumbu Himal (SE of Ama Dablam),1,0,0,0,1,,
Omitso Go,OMIT,Omi Tso Go,,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),0,0,0,0,0,,
Omoga Ri Chang,OMRC,NA,,Khumbu Himal (NNE of Kangtega),0,0,0,0,0,,
Pabuk Kang,PBUK,Kangata,,Ohmi Kangri Himal (E of Nangamari I on Tibetan border),0,0,0,0,0,,
Paldor,PALD,Bharange,,Ganesh Himal (SE of  Ganesh V),1,0,0,0,1,,
Palung,PLNG,Palung Ri,,North of Cho Oyu (in Tibet),0,0,0,0,0,,
Pama Himal,PAMA,NA,,Shringi Himal (N of Chamar on Tibetan border),0,0,0,0,0,,
Panalotapa,PANT,"Paniyo Tapa, Paniyo Tippa",,Rolwaling Himal (W of Tengkangpoche),0,0,0,0,0,,
Panbari,PANB,NA,,Peri Himal (NW of Larkya La),0,0,0,1,1,,
Pandra,PAND,NA,,Ohmi Kangri Himal (NW of Lhonak),1,0,0,0,1,,
Pangbuk North,PANN,Jobo LeCoultre,,Rolwaling Himal (NE of Pangbuk Ri on Tibetan border),0,0,0,0,0,,
Pangbuk Ri,PANG,NA,,Rolwaling Himal (N of Menlung La on Tibetan border),1,0,0,0,1,,
Pankar Himal,PKAR,NA,,Manaslu Himal (ENE of Samagaon on Tibetan border),0,0,0,0,0,,
Panpoche 1,PAN1,"Pang Phunch 1, Kutang Himal",,Manaslu Himal (NE of Sama village near Tibetan border),0,0,0,0,0,,
Panpoche 2,PAN2,Pang Phunch 2,,Manaslu Himal (NE of Sama village near Tibetan border),0,0,0,0,0,,
Parchamo,PARC,"Parchermo, Parchemuche, Pachermo",,Rolwaling Himal (S of Tesi Laptsa),0,0,0,1,1,,
Pasang Lhamu Chuli,PASA,Jasemba,,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),0,0,0,0,0,,
Pashuwo,PASH,Pashubo,,Ganesh Himal (N of Lampo on Tibetan border),0,0,0,0,0,,
Patrasi Himal,PATR,Kande Hiunchuli North,,Kanjiroba Himal (NE of Kande Huinchuli),0,0,0,0,0,,
Pawar Central,PAWR,Chaar Baatsa,,Pawar Himal (N of Larkya La),0,0,0,0,0,,
Peak 29,PK29,"Ngadi Chuli, Dakura, Dr Harka Gurung Chuli",,Manaslu Himal (S of Manaslu),0,0,0,0,0,,
Peak 4,PK04,Shershon Ri,,Khumbu Himal (SE of Baruntse),1,0,0,0,1,,
Peak 41,PK41,"""True"" Mera Peak",,Khumbu Himal (ESE of Ama Dablam),1,0,0,0,1,,
Pemthang Karpo Ri,PEMK,"Dome Blanc, Kan Karmo",,Jugal Himal (NNW of Dorje Lhakpa on Tibetan border),0,0,0,1,1,,
Pemthang Ri,PEMR,NA,,Jugal Himal (N of Pemthang Karpo Ri on Tibetan border),1,0,0,0,1,,
Peri,PERI,NA,,Langtang Himal (SE of Langtang Ri on Tibetan border),1,0,0,0,1,,
Peri Himal,PERH,NA,,Peri Himal (SE of Cheo Himal on Tibetan border),0,0,0,0,0,,
Pethangtse,PETH,NA,,Khumbu Himal (NW of Makalu on Tibetan border),0,0,1,0,1,,
Pethangtse East,PTHE,NA,,Khumbu Himal (ESE of Pethangtse on Tibetan border),0,0,0,0,0,,
Pharilapcha,PHAR,NA,,Khumbu Himal (SW of Gokyo Lake),0,0,0,1,1,,
Phole,PHOL,NA,,Kangchenjunga Himal (W of Kumbhakarna and Sobitongie),0,0,0,0,0,,
Phu Kang,PHUK,Phu Khang,,Peri Himal (N of Cheo Himal on Tibetan border),0,0,0,0,0,,
Phu Kang Go,PHUG,"Phu Khang Go, Athahra Saya Khola Himal",,Peri Himal (SE of Cheo on Tibetan border),0,0,0,0,0,,
Phu Kang North,PHUN,Phu Khang North,,Peri Himal (N of Cheo Himal on Tibetan border),0,0,0,0,0,,
Phungi,PHNG,NA,,Peri Himal (SE of Ratna Chuli on Tibetan border),0,0,0,0,0,,
Phungi Himal,PHNH,NA,,Manaslu Himal (W of Manaslu),0,0,0,0,0,,
Phurbi Chhyachu,PHUR,Phurbi Ghyachu,,Jugal Himal (SE of Dorje Lhakpa on Tibetan border),0,0,0,1,1,,
Pimu,PIMU,Pamalka,,Rolwaling Himal (N of Tesi Laptsa),0,0,0,0,0,,
Pisang,PISA,Jong Ri,,Damodar Himal (N of Marysangdi Valley),0,0,0,0,0,,
Pointed Peak,POIN,NA,,"Khumbu Himal (N of Cholatse, S of Tshola La)",0,0,0,0,0,,
Pokalde,POKA,Dolma Ri,,Khumbu Himal (N of Ama Dablam),1,0,0,1,2,,
Pokharkang,POKR,Pokhar Khang,Pisang Peak,Damodar Himal (N of Pisang Peak),0,0,0,0,0,,
Pota Himal North,POTA,Peak Hawley,Putha Hiunchuli,Dhaulagiri Himal (NE of Putha Hiunchuli),0,0,0,0,0,,
Pumori,PUMO,NA,,Khumbu Himal (WNW of Everest on Tibetan border),0,0,0,1,1,,
Punchen Himal,PUCH,Puchen Himal,,Shringi Himal (in Tsum Valley N of Pashuwo on Tibetan border),0,0,0,0,0,,
Purbung Himal,PURB,Putrung,,Damodar Himal (N of Chulu West),0,0,0,0,0,,
Purkhung,PURK,"Purkhang, Purkung",,Damodar Himal (NE of Thorong La),0,0,0,0,0,,
Putha Hiunchuli,PUTH,Dhaulagiri VII,Putha Hiunchuli,Dhaulagiri Himal (W of Churen Himal),1,0,0,1,2,,
Pyramid Peak,PYRM,"Pathibhara Chuli, Pathibhara Khas",,Jongsang Himal (N of Kangchenjunga on Indian border),0,0,0,0,0,,
Raksha Urai,RAKS,Raksha Urai III,,Raksha Urai Himal (ENE of Nampa),0,0,0,0,0,,
Ramdung,RAMD,Ramdong Go,,Rolwaling Himal (W of Tesi Laptsa),0,0,0,0,0,,
Ramtang,RAMT,NA,,Kangchenjunga Himal (N of Kangbachen),0,0,0,0,0,,
Ramtang Chang,RAMC,"Wedge Peak, Chang Himal",,Kangchenjunga Himal (N of Ramtang),0,0,0,0,0,,
Rani Peak,RANI,"Lidanda Peak, Himalchuli Northeast",,"Mansiri Himal (SE of Manaslu, NE of Himalchuli Main)",0,0,0,0,0,,
Rathong,RATH,NA,,Simhalila Himal (SW of Kabru on Indian border),1,0,0,0,1,,
Ratna Chuli,RATC,NA,,Peri Himal (NW of Himlung on Tibetan border),1,0,0,1,2,,
Raungsiyar,RAUN,NA,,Rolwaling Himal (N of Pimu),0,0,0,0,0,,
Rhimbu,RHIM,NA,,Shringi Himal (S of Tobsar),0,0,0,0,0,,
Ripimo Shar,RIPI,"Khang Karpo, Kang Karpo",,Rolwaling Himal (S of Dingjung Ri on Tibetan border),0,0,0,0,0,,
Roc Noir,ROCN,"Khangsar Kang, Khang Sar Khang",,Annapurna Himal (ENE of Annapurna I),0,0,0,0,0,,
Rokapi,ROKA,Kapchuli,,"Api Himal (S of Nampa, Bobaye and Jethi Bahurani)",0,0,0,0,0,,
Rolmi,ROLM,NA,,Shringi Himal (S of Tobsar),0,0,0,0,0,,
Rolwaling Kang,ROLK,Rolwaling Khang,,Rolwaling Himal (NNE of Tarkago),0,0,0,0,0,,
Roma,ROMA,NA,,Saipal Himal (SW of Saipal),0,0,0,0,0,,
Saipal,SAIP,NA,,Saipal Himal,1,0,0,1,2,,
Saipal East Humla,SAIE,NA,,Saipal Himal (NE of Saipal),0,0,0,0,0,,
Saldim,SALD,Peak 5,,Makalu Himal (ENE of Shershon village on Tibetan border),0,0,1,0,1,,
Saldim West,SALW,"Peak 5, Saldim Ri, Yaphu Ri",,Makalu Himal (ENE of Shershon village on Tibetan border),0,0,0,0,0,,
Samdo,SAMD,NA,,Manaslu Himal (NNE of Panpoche 1 & 2 on Tibetan border),1,0,0,0,1,,
Sanctuary Peak,SANC,NA,,Kanjiroba Himal (N of Kanjiroba North),0,0,0,0,0,,
Sano Bhrikuti,SANB,NA,,Damodar Himal (ENE of Bhrikuti),0,0,0,0,0,,
Sano Kailash,SANK,NA,,NA,0,0,0,0,0,,
Saribung,SARI,Selibung,,Damodar Himal (W of Bhrikuti),0,0,0,0,0,,
Sat Peak,SATO,Sato Peak,,Ohmi Kangri Himal (N of Sharphu range),0,0,0,0,0,,
Saula,SAUL,NA,,Manaslu Himal (ENE of Samagaon on Tibetan border),0,0,0,0,0,,
Serku Dolma,SRKU,NA,,Kanjiroba Himal (S of Tso Karpo Kang),0,0,0,0,0,,
Shalbachum,SHAL,"Salbachum, Phrul Rangtshan Ri",,Langtang Himal (E of Langtang Lirung on Tibetan border),1,0,0,0,1,,
Sharphu I,SPH1,Tanga I,,Ohmi Kangri Himal (WNW of Kangchenjunga),0,0,0,0,0,,
Sharphu II,SPH2,Tanga II,,Ohmi Kangri Himal (WNW of Kangchenjunga),0,0,0,0,0,,
Sharphu III,SPH3,Marson,,Ohmi Kangri Himal (WNW of Kangchenjunga),0,0,0,0,0,,
Sharphu IV,SPH4,Nupchu,,Ohmi Kangri Himal (WNW of Kangchenjunga),0,0,0,0,0,,
Sharphu V,SPH5,Tanga III,,Ohmi Kangri Himal (WNW of Kangchenjunga),0,0,0,0,0,,
Sharphu VI,SPH6,NA,,Ohmi Kangri Himal (WNW of Kangchenjunga),0,0,0,0,0,,
Shartse,SHAR,"Peak 38, Shanti Shikhar",Lhotse,Khumbu Himal (E of Lhotse Shar on Tibetan border),0,0,0,0,0,,
Shartse II,SHA2,Junction Peak,Lhotse,Khumbu Himal (E of Lhotse Shar on Tibetan border),0,0,1,0,1,,
Shershon,SHER,Peak 3,,Makalu Himal (NE of Shershon village on Tibetan border),0,0,0,0,0,,
Shershon Northwest,SHNW,NA,,Makalu Himal (NW of Shershon on Tibetan border),0,0,0,0,0,,
Shey Shikhar,SHEY,Junction Peak,,Kanjiroba Himal (SE of Kanjiroba and Tripura Hiunchuli),0,0,0,0,0,,
Simnang Himal,SIMN,"P2, Simnang Himal East",,Manaslu Himal (SE of Manaslu),0,0,0,0,0,,
Singu Chuli,SING,Fluted Peak,,Annapurna Himal (Annapurna Sanctuary),0,0,0,1,1,,
Sisne Himal,SISN,Hiunchuli Patan,,Sisne Himal (SW of Juphal in Rukum),0,0,0,1,1,,
Sita Chuchura,SITA,NA,,Mukut Himal (ENE of Dhaulagiri II near French Pass),1,0,0,1,2,,
Snow Peak,SNOW,NA,,Dhaulagiri Himal (E of Dhaulagiri II),0,0,0,0,0,,
Sobithongie,SOBI,NA,,Kangchenjunga Himal (W of Kumbhakarna),0,0,0,0,0,,
Sphinx,SPHN,"Pathibhara Phurba, Pathibhara East",,Jongsang Himal (NE of Pathibhara on Indian border),0,0,0,0,0,,
Surma-Sarovar North,SURM,NA,,Api Himal (SSE of Jethi Bahurani),0,0,0,0,0,,
Swaksa Kang,SWAK,NA,,Kanti Himal (SE of Kanti Himal peak on Tibetan border),0,0,0,0,0,,
Swelokhan,SWEL,NA,,Manaslu Himal (N of Samdo village on Tibetan border),0,0,0,0,0,,
Syaokang,SYKG,NA,,Ohmi Kangri Himal (SW of Ohmi Kangri near Tibetan border),0,0,0,0,0,,
Takargo,TKRG,Dragker-go,,Rolwaling Himal (E of Chobutse),1,0,0,1,2,,
Takargo East,TKRE,"Thakar Go East, Dragker-go East",,Rolwaling Himal (ESE of Takargo),0,0,0,0,0,,
Takla Kang,TAKL,Takla Khang,,Kanti Himal (W of Kanti Himal peak on Tibetan border),0,0,0,0,0,,
Takphu Himal,TAKP,NA,,Nalakankar Himal (on W Nepal/Tibetan border),0,0,0,0,0,,
Takphu North,TAKN,NA,,Nalakankar Himal (on W Nepal/Tibetan border),0,0,0,0,0,,
Talung,TLNG,NA,,Simhalila Himal (S of Kangchenjunga on Indian border),1,0,0,1,2,,
Tankya I,TANK,NA,,Kanti Himal (NE of Mariyang on Tibetan border),0,0,0,0,0,,
Taple Shikhar,TAPL,Cross Peak,,Kangchenjunga Himal (W of Nepal Peak),0,0,0,0,0,,
Tarke Kang Shar,TARS,Tare Kang,,Annapurna Himal (E of Glacier Dome),0,0,0,0,0,,
Tashi Kang,TASH,Tashi Khang,,Mukut Himal (N of Dhampus Peak),0,0,0,1,1,,
Tawa,TAWA,NA,,Damodar Himal (NNE of Yakawa Kang),0,0,0,0,0,,
Tawoche,TAWO,Taboche,,Khumbu Himal (NW of Ama Dablam),0,0,0,0,0,,
Tengi Ragi Tau,TENR,"Agole, Angole",,Rolwaling Himal (N of Tesi Laptsa),1,0,0,1,2,,
Tengi Ragi Tau East,TENE,"Agole East, Angole East",,Rolwaling Himal (NE of Tesi Laptsa),0,0,0,0,0,,
Tengi Ragi Tau South,TENS,"Pahamlahaka, Yasa Thak, Pomlaca",,Rolwaling Himal (E of Tesi Laptsa),0,0,0,0,0,,
Tengkangpoche,TKPO,Thyangmoche,,Rolwaling Himal (W of Kwangde),1,0,0,1,2,,
Tengkoma,TENG,Tang Kongma,,Jongsang Himal (NW of Kangchenjunga),0,0,0,0,0,,
Thamserku,THAM,Tramserku,,Khumbu Himal (SW of Ama Dablam),1,0,0,1,2,,
Tharke Kang,THRK,Tharke Khang,,Khumbu Himal (S of Nup La on Tibetan border),0,0,0,0,0,,
Tharpu Chuli,THAR,Tent Peak,,Annapurna Himal (Annapurna Sanctuary),0,0,0,1,1,,
Thoche Go,THOC,NA,,Peri Himal (SE of Cheo Himal on Tibetan border),0,0,0,0,0,,
Thorong Peak,THOR,Thorung Peak,,"Muktinath Himal, south of Thorong La",1,0,0,0,1,,
Thulagi,THUL,Mansiri Himal,,Manaslu Himal (SW of Manaslu),0,0,0,0,0,,
Til Kang,TILK,NA,,Nalakankar Himal (on W Nepal/Tibetan border),0,0,0,0,0,,
Tilicho,TILI,Tilitso,,Annapurna-Nilgiri Himal (N of Annapurna I),0,0,0,0,0,,
Tilje,TILJ,NA,,Peri Himal (SE of Gyajikang),0,0,0,0,0,,
Tobsar,TOBS,Tabsar,,Shringi Himal (ENE of Chamar),0,0,0,0,0,,
Tongu,TONG,NA,,Mukut Himal (N of Hongde in Hidden Valley),0,0,0,0,0,,
Triangle Peak,TRIA,NA,,Jugal Himal (NNW of Dome Blanc on Tibetan border),0,0,0,0,0,,
Tripura Hiunchuli,TRIP,"Tripura Thumba, Hanging Glacier Peak",,Kanjiroba Himal (SE of Kanjiroba),0,0,0,0,0,,
Tsartse,TSAR,NA,,Mukut Himal (N of Dhampus Peak),0,0,0,0,0,,
Tsaurabong Peak,TSUR,"Chara Ban Peak, White Peak",,Dhaulagiri Himal (SSE of Dhaulagiri V),1,0,0,0,1,,
Tsisima,TSIS,"Chijima, MDM Peak",,Janak Himal (WSW of Janak Chuli),0,0,0,0,0,,
Tso Karpo,TSKP,NA,,"Kanjiroba Himal (E of Kanjiroba, W of Tso Karpo Kang)",0,0,0,0,0,,
Tso Karpo Kang,TSOK,Tso Karpo Khang,,Kanjiroba Himal (E of Kanjiroba),0,0,0,0,0,,
Tukuche,TUKU,NA,,Dhaulagiri Himal (NE of Dhaulagiri I),0,0,0,0,0,,
Tutse,TUTS,"Peak 6, Nephu",,Makalu Himal (SE of Makalu),0,0,0,0,0,,
Urkema,URMA,"Baden Powell Scout Peak, Urgyenma",,Langtang Himal (W of Ganja La),0,0,0,0,0,,
Urkinmang,URKM,Buddha,,Jugal Himal (W of Dorje Lhakpa),0,0,0,0,0,,
Yakawa Kang,YAKA,NA,,Damodar Himal (N of Thorong La),1,0,0,1,2,,
Yalung Kang,YALU,Yalungkar,,Kangchenjunga Himal (W summit of Kangchenjunga),1,0,0,0,1,,
Yalung Kang West,YALW,NA,,Kangchenjunga Himal (W summit of Yalung Kang),0,0,0,0,0,,
Yangra Kangri South,YNGS,"Yangra South, Ganesh I South",,Ganesh Himal (NW of Ganesh III on Tibetan border),0,0,0,0,0,,
Yangri,YANG,Jugal,,Jugal Himal (N of Phurbi Chhyachu on Tibetan border),0,0,0,0,0,,
Yanme Kang,YANK,Yanme Khang,,Ohmi Kangri Himal (NW of Nangamari on Tibetan border),0,0,0,0,0,,
Yansa Tsenji,YANS,"Dragpoche, Dhagpache",,Langtang Himal (SW of Shalbachum on Tibetan border),1,0,0,0,1,,
Yara Chuli,YARA,Yala Chuli,,Palchung Himal (SE of Changdi on Tibetan border),0,0,0,0,0,,
Yarwa,YARW,NA,,Guras Himal (NW of Nampa on Tibetan border),0,0,0,0,0,,
