"PKNAME","PEAKID","PKNAME2","PKCONSO","LOCATION","HEIGHTM","ALL","osm.x","osm.y","osm","wiki","LAT","LONG"
"Ganesh II","GAN2","NA","Ganesh II","Ganesh Himal (WSW of Ganesh I)",7118,0,0,0,0,0,"28,37888889","85,05916667"
"Ganesh III","GAN3","Salasungo, Kang Lombo, Lopsang Karbo","Ganesh III","Ganesh Himal (S of Ganesh I on Tibetan border)",7043,0,0,0,0,0,"28,33527778","85,12472222"
"Ganesh IV","GAN4","Pabil","Ganesh IV","Ganesh Himal (SW of Ganesh I)",7104,0,0,0,0,0,"28,34555556","85,08"
"Ganesh V","GAN5","NA","Ganesh V","Ganesh Himal (SE of Ganesh I on Tibetan border)",6770,1,1,0,0,0,,
"Ganesh VI","GAN6","NA","Ganesh VI","Ganesh Himal (subpeak SE of Ganesh II)",6908,1,1,0,0,0,,
"Gangapurna","GANG","NA","Gangapurna","Annapurna Himal (NW of Annapurna III)",7455,4,1,1,1,1,,
"Gangapurna West","GANW","Lachenal Peak, Asapurna","Gangapurna West","Annapurna Himal (W of Gangapurna)",7140,0,0,0,0,0,"28,60111111","83,94388889"
"Gaurishankar","GAUR","Jomo Tseringma","Gauri","Rolwaling Himal (on Tibetan border)",7135,0,0,0,0,0,"27,93722222","86,35027778"
"Gaurishankar South","GAUS","Gauri","Gaurishankar","Rolwaling Himal (S of Gaurishankar)",7010,0,0,0,0,0,"27,965","86,33777778"
"Ghanyala Hies","GHAN","NA","Ghanyala Hies","Janak Himal (NW of Janak Chuli on Tibetan border)",6744,0,0,0,0,0,"27,89555556","88,08277778"
"Gimmigela Chuli","GIMM","Twins","Gimmigela Chuli","Kangchenjunga Himal (N of Kangchenjunga on Indian border)",7350,1,0,0,0,1,,
"Gimmigela Chuli East","GIME","Twins","Gimmigela Chuli","Kangchenjunga Himal (N of Kangchenjunga on Indian border)",7007,0,0,0,0,0,,
"Glacier Dome","GLAC","Tarke Kang, Tarke Khang","Annapurna I","Annapurna Himal (E of Annapurna I)",7168,0,0,0,0,0,,
"Guras","GURA","Gurans","Guras","Guras Himal (NE of Nampa on Tibetan border)",6744,0,0,0,0,0,"30,04305556","81,10888889"
